UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 15:39 ?        00:00:01 /sbin/init splash
root           2       0  0 15:39 ?        00:00:00 [kthreadd]
root           3       2  0 15:39 ?        00:00:00 [rcu_gp]
root           4       2  0 15:39 ?        00:00:00 [rcu_par_gp]
root           5       2  0 15:39 ?        00:00:00 [slub_flushwq]
root           6       2  0 15:39 ?        00:00:00 [netns]
root           8       2  0 15:39 ?        00:00:00 [kworker/0:0H-kblockd]
root           9       2  0 15:39 ?        00:00:00 [kworker/0:1-events]
root          10       2  0 15:39 ?        00:00:02 [kworker/u4:0-events_unbound]
root          11       2  0 15:39 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 15:39 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 15:39 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 15:39 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 15:39 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 15:39 ?        00:00:00 [rcu_preempt]
root          17       2  0 15:39 ?        00:00:00 [migration/0]
root          18       2  0 15:39 ?        00:00:00 [idle_inject/0]
root          19       2  0 15:39 ?        00:00:00 [cpuhp/0]
root          20       2  0 15:39 ?        00:00:00 [cpuhp/1]
root          21       2  0 15:39 ?        00:00:00 [idle_inject/1]
root          22       2  0 15:39 ?        00:00:00 [migration/1]
root          23       2  0 15:39 ?        00:00:00 [ksoftirqd/1]
root          26       2  0 15:39 ?        00:00:00 [kdevtmpfs]
root          27       2  0 15:39 ?        00:00:00 [inet_frag_wq]
root          28       2  0 15:39 ?        00:00:02 [kworker/u4:1-events_unbound]
root          29       2  0 15:39 ?        00:00:00 [kauditd]
root          30       2  0 15:39 ?        00:00:00 [khungtaskd]
root          31       2  0 15:39 ?        00:00:00 [oom_reaper]
root          32       2  0 15:39 ?        00:00:00 [writeback]
root          33       2  0 15:39 ?        00:00:00 [kcompactd0]
root          34       2  0 15:39 ?        00:00:00 [ksmd]
root          35       2  0 15:39 ?        00:00:00 [khugepaged]
root          36       2  0 15:39 ?        00:00:00 [kintegrityd]
root          37       2  0 15:39 ?        00:00:00 [kblockd]
root          38       2  0 15:39 ?        00:00:00 [blkcg_punt_bio]
root          39       2  0 15:39 ?        00:00:00 [tpm_dev_wq]
root          40       2  0 15:39 ?        00:00:00 [ata_sff]
root          41       2  0 15:39 ?        00:00:00 [md]
root          42       2  0 15:39 ?        00:00:00 [md_bitmap]
root          43       2  0 15:39 ?        00:00:00 [edac-poller]
root          44       2  0 15:39 ?        00:00:00 [devfreq_wq]
root          45       2  0 15:39 ?        00:00:00 [watchdogd]
root          47       2  0 15:39 ?        00:00:00 [kswapd0]
root          48       2  0 15:39 ?        00:00:00 [ecryptfs-kthread]
root          49       2  0 15:39 ?        00:00:00 [kthrotld]
root          51       2  0 15:39 ?        00:00:00 [acpi_thermal_pm]
root          52       2  0 15:39 ?        00:00:01 [kworker/u4:2-events_power_efficient]
root          53       2  0 15:39 ?        00:00:00 [scsi_eh_0]
root          54       2  0 15:39 ?        00:00:00 [scsi_tmf_0]
root          55       2  0 15:39 ?        00:00:00 [scsi_eh_1]
root          56       2  0 15:39 ?        00:00:00 [scsi_tmf_1]
root          60       2  0 15:39 ?        00:00:00 [mld]
root          62       2  0 15:39 ?        00:00:00 [ipv6_addrconf]
root          70       2  0 15:39 ?        00:00:00 [kstrp]
root          72       2  0 15:39 ?        00:00:00 [kworker/u5:0]
root          76       2  0 15:39 ?        00:00:00 [charger_manager]
root         122       2  0 15:39 ?        00:00:00 [scsi_eh_2]
root         123       2  0 15:39 ?        00:00:00 [scsi_tmf_2]
root         146       2  0 15:39 ?        00:00:00 [jbd2/sda3-8]
root         147       2  0 15:39 ?        00:00:00 [ext4-rsv-conver]
root         186       1  0 15:39 ?        00:00:00 /lib/systemd/systemd-journald
root         212       2  0 15:39 ?        00:00:00 [kworker/1:4-mm_percpu_wq]
root         220       2  0 15:39 ?        00:00:00 [irq/18-vmwgfx]
root         221       2  0 15:39 ?        00:00:00 [ttm]
root         233       1  0 15:39 ?        00:00:00 /lib/systemd/systemd-udevd
root         235       2  0 15:39 ?        00:00:00 [kworker/0:3-cgroup_destroy]
root         276       2  0 15:39 ?        00:00:00 [cryptd]
root         285       2  0 15:39 ?        00:00:00 [kworker/1:2H-kblockd]
systemd+     410       1  0 15:39 ?        00:00:01 /lib/systemd/systemd-oomd
systemd+     415       1  0 15:39 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     418       1  0 15:39 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         552       1  0 15:39 ?        00:00:00 /usr/libexec/accounts-daemon
root         553       1  0 15:39 ?        00:00:00 /usr/sbin/acpid
avahi        556       1  0 15:39 ?        00:00:00 avahi-daemon: running [Ubunutu.local]
root         557       1  0 15:39 ?        00:00:00 /usr/sbin/cron -f -P
message+     558       1  0 15:39 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         560       1  0 15:39 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         569       1  0 15:39 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         572       1  0 15:39 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         573       1  0 15:39 ?        00:00:01 /usr/libexec/polkitd --no-debug
root         574       1  0 15:39 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       575       1  0 15:39 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         579       1  0 15:39 ?        00:00:01 /usr/lib/snapd/snapd
root         580       1  0 15:39 ?        00:00:00 /usr/libexec/switcheroo-control
root         584       1  0 15:39 ?        00:00:00 /lib/systemd/systemd-logind
root         586       1  0 15:39 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         588       1  0 15:39 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        611     556  0 15:39 ?        00:00:00 avahi-daemon: chroot helper
root         620       1  0 15:39 ?        00:00:00 /usr/sbin/ModemManager
root         645       1  0 15:39 ?        00:00:00 /usr/sbin/cupsd -l
root         677       1  0 15:39 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
lp           683     645  0 15:39 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         697       1  0 15:39 ?        00:00:00 /usr/sbin/gdm3
root         718       1  0 15:39 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     723       1  0 15:39 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     726       1  0 15:39 ?        00:00:00 /usr/sbin/kerneloops
rtkit        796       1  0 15:39 ?        00:00:00 /usr/libexec/rtkit-daemon
root         990       1  0 15:39 ?        00:00:00 /usr/libexec/upowerd
root        1018       1  0 15:39 ?        00:00:00 /usr/libexec/packagekitd
colord      1177       1  0 15:39 ?        00:00:00 /usr/libexec/colord
root        1247     697  0 15:39 ?        00:00:00 gdm-session-worker [pam/gdm-password]
aliu        1259       1  0 15:40 ?        00:00:00 /lib/systemd/systemd --user
aliu        1260    1259  0 15:40 ?        00:00:00 (sd-pam)
aliu        1266    1259  0 15:40 ?        00:00:00 /usr/bin/pipewire
aliu        1267    1259  0 15:40 ?        00:00:00 /usr/bin/pipewire-media-session
aliu        1268    1259  0 15:40 ?        00:00:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
aliu        1269    1259  0 15:40 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
aliu        1272    1259  0 15:40 ?        00:00:00 /usr/bin/ubuntu-report service
aliu        1278       1  0 15:40 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
aliu        1281    1259  0 15:40 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
aliu        1293    1247  0 15:40 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
aliu        1296    1293  0 15:40 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
aliu        1308    1259  0 15:40 ?        00:00:00 /usr/libexec/gvfsd
aliu        1313    1259  0 15:40 ?        00:00:00 /usr/libexec/xdg-document-portal
aliu        1318    1259  0 15:40 ?        00:00:00 /usr/libexec/xdg-permission-store
aliu        1323    1259  0 15:40 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
root        1335    1313  0 15:40 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
aliu        1367    1259  0 15:40 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
aliu        1387    1259  0 15:40 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
aliu        1400    1259  0 15:40 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
aliu        1421    1400  0 15:40 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
aliu        1425    1259  6 15:40 ?        00:00:48 /usr/bin/gnome-shell
aliu        1434    1421  0 15:40 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
